book_name,score,num,picturelink,publisher,publishyear,ISBN,rank
"
        羊道·前山夏牧场
      ",9.1,2596,https://img1.doubanio.com/view/subject/l/public/s5763939.jpg, 上海文艺出版社,2012 ,9787532144877 ,1425 
"
        霸王别姬
      ",9.2,2035,https://img3.doubanio.com/view/subject/l/public/s5097980.jpg, 人民文学出版社,1978 ,9787020017294 ,1422 
"
        给青年诗人的信
      ",9.1,1377,https://img3.doubanio.com/view/subject/l/public/s2579305.jpg, 上海译文出版社,2011 ,9787532753000 ,1409 
"
        JavaScript语言精粹
      ",9.1,1800,https://img1.doubanio.com/view/subject/l/public/s4670398.jpg, 电子工业出版社,2009 ,9787121084379 ,1390 
"
        电影是什么？
      ",9,1546,https://img3.doubanio.com/view/subject/l/public/s4026841.jpg, 文化艺术出版社,2008 ,9787503935275 ,1288 
"
        正红旗下
      ",9.2,2666,https://img9.doubanio.com/view/subject/l/public/s3328566.jpg, 人民文学出版社,1973 ,9787503935276 ,1278 
"
        香初上舞·终上
      ",9,4312,https://img3.doubanio.com/view/subject/l/public/s9038435.jpg, 广西人民出版社,2005 ,9787219052884 ,1245 
"
        人生的枷锁
      ",9,3251,https://img3.doubanio.com/view/subject/l/public/s6107711.jpg, 上海译文出版社,2011 ,9787532753475 ,1230 
"
        金庸全集
      ",9.6,3153,https://img3.doubanio.com/view/subject/l/public/s6385895.jpg, 生活·读书·新知三联书店,1994 ,9787845410256 ,1212 
"
        毛泽东选集
      ",9.2,6202,https://img3.doubanio.com/view/subject/l/public/s3657325.jpg, 人民出版社,1991 ,9787010009148 ,1202 
"
        庄子諵譁下
      ",9.2,4796,https://img1.doubanio.com/view/subject/l/public/s2663678.jpg, 人民文学出版社,1973 ,9787101003889 ,1147 
"
        故事新编
      ",9.3,1998,https://img3.doubanio.com/view/subject/l/public/s29834872.jpg, 人民文学出版社,2005 ,9787020046348 ,1137 
"
        汪曾祺小说经典
      ",9.1,2831,https://img1.doubanio.com/view/subject/l/public/s1528318.jpg, 人民邮电出版社,2010 ,9787115226266 ,1054 
"
        海子诗全集
      ",9.2,8063,https://img3.doubanio.com/view/subject/l/public/s1381574.jpg, 作家出版社,2009 ,9787506346207 ,928 
"
        约翰·克利斯朵夫共四册
      ",9.1,2781,https://img3.doubanio.com/view/subject/l/public/s3670242.jpg, 人民文学出版社,1957 ,9787506346208 ,886 
"
        牡丹亭
      ",9.1,2179,https://img1.doubanio.com/view/subject/l/public/s4088678.jpg, 人民文学出版社,2005 ,9787020051816 ,799 
"
        雕刻时光
      ",9,4321,https://img3.doubanio.com/view/subject/l/public/s3979854.jpg, 人民文学出版社,2003 ,9787020039852 ,740 
